COD_AN	PERIODO_ANIO	JORNADA_CODIGO	JORNADA_NOMBRE	NIVELENSE_CODIGO	NIVELENSE_NOMBRE	JORNCAP_CANTIDAD_HOMBRE	JORNCAP_CANTIDAD_MUJER
0002488	2015	1	Completa	01	Preescolar	0	1
0002488	2015	1	Completa	02	Básica primaria	16	11
0002488	2015	1	Completa	03	Básica secundaria	3	1
0002488	2015	1	Completa	04	Media	2	5
0009047	2015	1	Completa	03	Básica secundaria	5	1
0009047	2015	1	Completa	04	Media	3	0
0011095	2015	2	Mañana	03	Básica secundaria	5	9
0011095	2015	2	Mañana	04	Media	13	23
0066849	2015	1	Completa	02	Básica primaria	0	1
0054752	2015	2	Mañana	02	Básica primaria	0	1
0009513	2015	3	Tarde	02	Básica primaria	0	1
0065083	2015	1	Completa	01	Preescolar	1	0
0056620	2015	2	Mañana	03	Básica secundaria	1	0
0026086	2015	2	Mañana	02	Básica primaria	0	1
0026086	2015	2	Mañana	03	Básica secundaria	0	1
0026086	2015	2	Mañana	04	Media	0	1
0068685	2015	1	Completa	01	Preescolar	1	0
0009750	2015	2	Mañana	03	Básica secundaria	2	7
0009750	2015	2	Mañana	04	Media	2	7
0079979	2015	2	Mañana	02	Básica primaria	1	2
0032696	2015	2	Mañana	02	Básica primaria	0	1
0059393	2015	1	Completa	03	Básica secundaria	1	0
0009313	2015	1	Completa	03	Básica secundaria	1	0
0009313	2015	1	Completa	04	Media	1	1
0009043	2015	3	Tarde	03	Básica secundaria	1	0
0065235	2015	1	Completa	02	Básica primaria	1	0
0032865	2015	2	Mañana	02	Básica primaria	1	1
0065628	2015	1	Completa	01	Preescolar	1	0
0004131	2015	2	Mañana	02	Básica primaria	1	0
0043721	2015	2	Mañana	02	Básica primaria	0	1
0008024	2015	2	Mañana	03	Básica secundaria	0	1
0078910	2015	1	Completa	04	Media	1	0
0009247	2015	3	Tarde	02	Básica primaria	5	0
0012404	2015	2	Mañana	03	Básica secundaria	1	0
0001940	2015	2	Mañana	03	Básica secundaria	1	2
0001940	2015	2	Mañana	04	Media	2	1
0001940	2015	3	Tarde	02	Básica primaria	5	1
0002056	2015	3	Tarde	03	Básica secundaria	0	1
0001922	2015	2	Mañana	01	Preescolar	1	0
0001922	2015	2	Mañana	02	Básica primaria	3	3
0071400	2015	5	Fin de Semana	05	CLEI (Ciclos lectivos integrados - decreto 3011 de 1997)	5	3
0077555	2015	1	Completa	03	Básica secundaria	1	0
0077555	2015	1	Completa	04	Media	1	0
0031382	2015	2	Mañana	02	Básica primaria	1	0
0032711	2015	2	Mañana	02	Básica primaria	1	0
0015760	2015	2	Mañana	03	Básica secundaria	3	0
0040969	2015	5	Fin de Semana	05	CLEI (Ciclos lectivos integrados - decreto 3011 de 1997)	0	2
0026186	2015	1	Completa	02	Básica primaria	1	0
0017649	2015	3	Tarde	02	Básica primaria	1	0
0000093	2015	2	Mañana	03	Básica secundaria	1	0
0008990	2015	3	Tarde	02	Básica primaria	0	1
0043809	2015	2	Mañana	01	Preescolar	4	4
0000042	2015	2	Mañana	02	Básica primaria	0	1
0000258	2015	2	Mañana	02	Básica primaria	0	1
0002211	2015	2	Mañana	02	Básica primaria	1	0
0048104	2015	1	Completa	02	Básica primaria	1	0
0072502	2015	1	Completa	02	Básica primaria	3	3
0072502	2015	1	Completa	04	Media	0	1
0058833	2015	2	Mañana	01	Preescolar	1	1
0009217	2015	3	Tarde	02	Básica primaria	0	2
0002211	2015	2	Mañana	03	Básica secundaria	2	0
0061365	2015	2	Mañana	01	Preescolar	1	1
0061365	2015	2	Mañana	03	Básica secundaria	2	2
0061365	2015	2	Mañana	04	Media	2	1
0073203	2015	2	Mañana	02	Básica primaria	1	0
0013655	2015	1	Completa	01	Preescolar	0	1
0011712	2015	2	Mañana	03	Básica secundaria	2	4
0011712	2015	2	Mañana	04	Media	4	2
0011712	2015	3	Tarde	02	Básica primaria	1	0
0011712	2015	3	Tarde	03	Básica secundaria	1	1
0073151	2015	2	Mañana	03	Básica secundaria	1	0
0073151	2015	2	Mañana	04	Media	2	0
0001446	2015	2	Mañana	03	Básica secundaria	1	5
0036463	2015	1	Completa	04	Media	1	1
0000911	2015	3	Tarde	04	Media	2	0
0001446	2015	3	Tarde	02	Básica primaria	0	1
0012786	2015	2	Mañana	03	Básica secundaria	1	0
0076201	2015	2	Mañana	03	Básica secundaria	1	0
0076201	2015	2	Mañana	04	Media	1	0
0000080	2015	3	Tarde	02	Básica primaria	4	2
0002298	2015	3	Tarde	03	Básica secundaria	1	0
0070083	2015	2	Mañana	03	Básica secundaria	0	1
0000008	2015	2	Mañana	03	Básica secundaria	2	0
0000154	2015	2	Mañana	02	Básica primaria	1	0
0000480	2015	2	Mañana	03	Básica secundaria	4	1
